street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Xô Viết Nghệ Tĩnh,25,Bình Thạnh,Hồ Chí Minh,52.0,1,2,2,2,5.89,3
Bà Hom,13,6,Hồ Chí Minh,46.0998,1,2,2,2,4.65,3
Nguyễn Văn Khối,9,Gò Vấp,Hồ Chí Minh,180.0,1,6,6,3,18.2,2
Tân Chánh Hiệp 3,Tân Chánh Hiệp,12,Hồ Chí Minh,67.0,1,5,5,4,6.5,3
Số 25,Bình Trị Đông B,Bình Tân,Hồ Chí Minh,80.0,1,4,5,4,10.6,1
C7D Phạm Hùng,Bình Hưng,Bình Chánh,Hồ Chí Minh,48.0,4,2,2,2,2.75,3
Đông Bắc,Tân Chánh Hiệp,12,Hồ Chí Minh,80.0,1,3,2,2,4.8,3
Bàu Cát,11,Tân Bình,Hồ Chí Minh,201.0,1,2,5,3,22.0,3
Huỳnh Tấn Phát,Phú Mỹ,7,Hồ Chí Minh,33.0,4,2,1,2,0.85,3
Nguyễn Ðình Chiểu,2,3,Hồ Chí Minh,37.0,1,5,4,4,8.0,3
Nguyễn Thị Thập,Tân Quy,7,Hồ Chí Minh,40.0,1,3,4,4,6.2,1
Lương Văn Can,15,8,Hồ Chí Minh,45.0,1,4,4,5,4.75,3
Phạm Văn Đồng,3,Gò Vấp,Hồ Chí Minh,32.0,1,2,2,2,3.8,3
Tân Thới Nhất 12,Tân Thới Nhất,12,Hồ Chí Minh,104.0,1,4,4,3,7.0,3
Hậu Giang,12,6,Hồ Chí Minh,124.0,1,3,3,2,17.5,1
Nơ Trang Long,13,Bình Thạnh,Hồ Chí Minh,50.0,1,3,3,2,7.66,3
Hoàng Phan Thái,Bình Chánh,Bình Chánh,Hồ Chí Minh,83.0,1,3,2,2,0.62,1
Lâm Văn Bền,Tân Quy,7,Hồ Chí Minh,106.0,1,5,5,33,22.0,1
Lê Thị Bay,Tân Thạnh Đông,Củ Chi,Hồ Chí Minh,708.0,1,2,2,4,12.5,1
Nguyễn Thị Sáu,Bà Điểm,Hóc Môn,Hồ Chí Minh,82.0,1,3,3,2,5.8,3
Trần Quang Cơ,Phú Thạnh,Tân Phú,Hồ Chí Minh,48.0,1,4,5,4,6.3,3
Tân Hòa Đông,14,6,Hồ Chí Minh,43.0998,1,3,2,2,3.93,3
Lâm Văn Bền,Tân Hưng,7,Hồ Chí Minh,80.0,1,2,3,2,8.28,3
Đồng Nai,15,10,Hồ Chí Minh,25.0,1,3,4,4,5.6,3
Nguyễn Minh Hoàng,12,Tân Bình,Hồ Chí Minh,67.0,1,2,3,3,15.2,3
Tây Lân,Tân Tạo,Bình Tân,Hồ Chí Minh,108.0,1,3,3,2,6.45,3
Dương Quảng,5,Gò Vấp,Hồ Chí Minh,54.2,1,7,7,4,6.3,3
Tân Trang,9,Tân Bình,Hồ Chí Minh,44.0,1,3,2,3,8.5,1
Văn Cao,Phú Thọ Hòa,Tân Phú,Hồ Chí Minh,80.0,1,4,5,3,10.0,3
Thới Tứ 1,Thới Tam Thôn,Hóc Môn,Hồ Chí Minh,126.0,1,3,2,1,3.2,3
Trần Bá Giao,5,Gò Vấp,Hồ Chí Minh,65.0,1,2,3,3,8.7,1
Số 47,Tân Quy,7,Hồ Chí Minh,56.0,1,4,4,3,7.5,3
Hòa Bình,Hiệp Tân,Tân Phú,Hồ Chí Minh,100.0,1,2,3,2,12.7,3
Huỳnh Tấn Phát,Phú Mỹ,7,Hồ Chí Minh,60.0,1,4,4,3,4.9,3
Nguyễn Thị Thơi,Hiệp Thành,12,Hồ Chí Minh,130.0,1,4,4,3,9.2,1
Lạc Long Quân,11,Tân Bình,Hồ Chí Minh,60.0,1,3,3,3,7.3,3
Hương Lộ 80,Bình Hưng Hoà B,Bình Tân,Hồ Chí Minh,75.0,1,4,4,4,4.8,3
Thạnh Xuân 25,Thạnh Xuân,12,Hồ Chí Minh,85.0,1,4,5,4,7.78,1
Cao Văn Lầu,2,6,Hồ Chí Minh,73.0,1,1,4,1,22.0,1
Phan Huy Ích,14,Gò Vấp,Hồ Chí Minh,50.0,1,2,2,2,4.0,3
Lê Đức Thọ,17,Gò Vấp,Hồ Chí Minh,20.0,1,1,2,2,2.59,3
Nguyễn Văn Quá,Đông Hưng Thuận,12,Hồ Chí Minh,84.0,1,4,5,3,8.5,2
Tân Kỳ Tân Quý,Tân Sơn Nhì,Tân Phú,Hồ Chí Minh,79.0,1,4,4,4,5.75,3
Âu Cơ,9,Tân Bình,Hồ Chí Minh,48.0,1,3,4,4,6.6,3
Bờ Bao Tân Thắng,Sơn Kỳ,Tân Phú,Hồ Chí Minh,43.0,1,3,4,4,5.2,3
Trương Công Định,14,Tân Bình,Hồ Chí Minh,112.0,1,8,7,5,23.0,1
Huyện 15,Thạnh Phú,Vĩnh Cửu,Đồng Nai,90.0,1,2,2,2,1.35,3
Điện Biên Phủ,15,Bình Thạnh,Hồ Chí Minh,68.0,1,5,4,5,10.9,3
Lê Đức Thọ,13,Gò Vấp,Hồ Chí Minh,58.0,1,4,3,3,5.8,3
Nguyễn Thị Thập,Tân Hưng,7,Hồ Chí Minh,140.0,1,3,4,3,16.0,1
Thới An 13,Thới An,12,Hồ Chí Minh,99.0,1,5,5,3,8.19,1
Nguyễn Tiểu La,6,10,Hồ Chí Minh,30.0,1,4,4,4,6.0,3
Bà Hạt,9,10,Hồ Chí Minh,50.0,1,5,5,5,15.7,1
Hiệp Thành 45,Hiệp Thành,12,Hồ Chí Minh,53.0,1,4,4,3,5.68,3
Trần Thị Bảy,Hiệp Thành,12,Hồ Chí Minh,30.3999,4,2,2,2,1.439,1
Trương Hoàng Thanh,12,Tân Bình,Hồ Chí Minh,70.5,1,4,4,2,14.8,1
Hưng Nhơn,Tân Kiên,Bình Chánh,Hồ Chí Minh,110.0,1,3,2,2,0.8,3
Đinh Đức Thiện,Bình Chánh,Bình Chánh,Hồ Chí Minh,100.0,1,3,2,3,2.1,3
Trần Văn Quang,10,Tân Bình,Hồ Chí Minh,127.0,1,11,7,5,16.8,1
Cộng Hòa,13,Tân Bình,Hồ Chí Minh,87.0,1,4,3,2,8.6,4
Minh Phụng,2,6,Hồ Chí Minh,50.0,1,2,2,2,10.5,1
Mã Lò,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,32.0,1,2,2,2,3.7,3
Quốc Lộ 1,Xuân Hưng,Xuân Lộc,Đồng Nai,995.0,1,3,5,5,3.264,3
Thương Mại,Trung Chánh,Hóc Môn,Hồ Chí Minh,100.0,1,2,1,2,6.2,1
Cách Mạng Tháng 8,11,3,Hồ Chí Minh,10.0,1,2,2,2,1.89,3
Nguyễn Văn Khối,11,Gò Vấp,Hồ Chí Minh,49.0,1,3,3,3,6.1,3
Hoàng Hoa Thám,7,Bình Thạnh,Hồ Chí Minh,51.0,1,5,5,3,7.7,3
Lê Văn Quới,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,45.0,1,4,3,4,3.0,3
Trường Chinh,Tân Thới Nhất,12,Hồ Chí Minh,68.0,1,5,5,2,4.699,3
Lê Văn Sỹ,13,Phú Nhuận,Hồ Chí Minh,46.0,1,3,3,2,8.45,3
Ba Đình,10,8,Hồ Chí Minh,57.0,1,5,4,4,7.9,1
Tô Hiến Thành,15,10,Hồ Chí Minh,72.0,1,5,4,5,13.8,3
Trần Thị Bốc,Thới Tam Thôn,Hóc Môn,Hồ Chí Minh,106.5998,1,4,3,2,6.8,1
Phạm Thế Hiển,5,8,Hồ Chí Minh,102.0,1,7,6,4,7.5,3
Trần Thị Hè,Hiệp Thành,12,Hồ Chí Minh,55.0,1,4,5,4,5.89,3
Lương Minh Nguyệt,Tân Thới Hòa,Tân Phú,Hồ Chí Minh,96.5998,1,6,6,5,13.5,1
Lý Thái Tổ,1,3,Hồ Chí Minh,25.0,1,2,3,4,6.5,3
Xuân Thới Thượng 7,Bà Điểm,Hóc Môn,Hồ Chí Minh,100.0,1,2,2,2,5.6,1
Tân Chánh Hiệp 8,Tân Chánh Hiệp,12,Hồ Chí Minh,143.0,1,5,5,4,12.89,1
Cách Mạng Tháng 8,13,10,Hồ Chí Minh,77.4,1,5,4,3,8.9,3
Bà Điểm 2,Bà Điểm,Hóc Môn,Hồ Chí Minh,100.0,1,4,3,1,5.55,1
Tạ Quang Bửu,5,8,Hồ Chí Minh,64.0,8,3,2,2,1.3,3
Tân Hòa Đông,14,6,Hồ Chí Minh,50.0,1,6,5,2,6.18,3
Lương Thế Vinh,Tân Thới Hòa,Tân Phú,Hồ Chí Minh,126.0,1,2,3,3,15.0,3
An Hội,13,Gò Vấp,Hồ Chí Minh,115.0,1,5,4,3,14.5,1
Hồng Lạc,11,Tân Bình,Hồ Chí Minh,20.0,1,1,2,2,2.45,3
Hai Bà Trưng,Tân Định,1,Hồ Chí Minh,35.0,1,4,4,4,60.0,3
Tô Ngọc Vân,Thạnh Xuân,12,Hồ Chí Minh,38.0,3,4,3,3,1.75,3
Số 24,11,6,Hồ Chí Minh,80.0,1,5,4,3,13.5,1
Thới An 22,Thới An,12,Hồ Chí Minh,100.0,1,5,4,3,5.9,3
Cao Văn Lầu,1,6,Hồ Chí Minh,75.0,1,5,5,5,16.9,1
Tân Thới Nhất 6,Tân Thới Nhất,12,Hồ Chí Minh,170.0,1,3,4,3,9.3,1
Tân Mỹ,Tân Thuận Tây,7,Hồ Chí Minh,76.0,1,3,4,3,8.5,3
Thạnh Xuân 43,Thạnh Xuân,12,Hồ Chí Minh,68.0,1,4,3,3,6.39,1
Qui Đức,Quy Đức,Bình Chánh,Hồ Chí Minh,192.6,1,4,4,2,4.6,3
Số 4,7,Gò Vấp,Hồ Chí Minh,119.0,1,7,7,4,19.9,1
Trần Thị Hè,Tân Thới Hiệp,12,Hồ Chí Minh,68.0,1,2,2,1,3.69,3
Trần Thị Trọng,15,Tân Bình,Hồ Chí Minh,42.0,1,4,5,3,6.39,3
Bùi Đình Tuý,24,Bình Thạnh,Hồ Chí Minh,68.0,1,4,4,4,11.5,3
Quốc Lộ 26,Cư Huê,Ea Kar,Đắk Lắk,210.0,1,3,1,1,3.99,1
Tân Thành,Tân Thành,Tân Phú,Hồ Chí Minh,34.5,1,2,2,2,4.55,3
Lê Trọng Tấn,Sơn Kỳ,Tân Phú,Hồ Chí Minh,266.0,1,5,5,1,21.0,3
Bình Phú,10,6,Hồ Chí Minh,66.0,1,4,5,3,13.5,1
Tân Thới Nhất 2,Tân Thới Nhất,12,Hồ Chí Minh,92.0,1,3,3,3,7.9,1
Hoa Lan,2,Phú Nhuận,Hồ Chí Minh,61.0,1,3,4,4,26.5,1
Nguyễn Văn Đậu,11,Bình Thạnh,Hồ Chí Minh,48.0,1,4,5,4,6.0,3
Đinh Tiên Hoàng,1,Bình Thạnh,Hồ Chí Minh,30.0,1,2,2,2,6.1,3
Trần Xuân Soạn,Tân Kiểng,7,Hồ Chí Minh,81.0,1,4,3,2,7.65,3
Số 5,Tân Tạo A,Bình Tân,Hồ Chí Minh,80.0,1,4,4,4,7.9,1
Đào Tông Nguyên,Phú Xuân,Nhà Bè,Hồ Chí Minh,40.0,4,2,2,2,2.19,3
Nơ Trang Long,12,Bình Thạnh,Hồ Chí Minh,58.5,1,3,3,2,6.5,3
Lạc Long Quân,5,11,Hồ Chí Minh,18.0,1,3,2,4,4.4,1
Nguyễn Văn Trỗi,15,Phú Nhuận,Hồ Chí Minh,68.0,1,11,7,6,13.9,3
Lê Đức Thọ,16,Gò Vấp,Hồ Chí Minh,215.0,1,5,4,4,16.9,2
Nguyễn Văn Đậu,5,Bình Thạnh,Hồ Chí Minh,92.0,1,4,3,2,8.499999999,3
Nguyễn Ảnh Thủ,Trung Mỹ Tây,12,Hồ Chí Minh,139.0,1,3,4,3,7.68,1
Hồng Bàng,12,6,Hồ Chí Minh,39.0,1,3,3,3,3.65,3
Nguyễn Cửu Vân,17,Bình Thạnh,Hồ Chí Minh,60.0,1,5,5,7,10.0,3
Lâm Thị Hố,Tân Chánh Hiệp,12,Hồ Chí Minh,60.0,1,3,2,2,4.3,3
Trịnh Như Khuê,Bình Chánh,Bình Chánh,Hồ Chí Minh,96.0,1,3,2,2,0.82,1
Lạc Long Quân,1,11,Hồ Chí Minh,50.0,1,4,5,4,8.5,3
Bùi Quang Là,12,Gò Vấp,Hồ Chí Minh,30.0,1,2,3,3,4.0,3
Đông Hưng Thuận 42,Đông Hưng Thuận,12,Hồ Chí Minh,75.0,1,2,2,2,4.2,3
Phan Văn Hớn,Tân Thới Nhất,12,Hồ Chí Minh,44.0,1,2,2,2,3.7,3
Lạc Long Quân,10,11,Hồ Chí Minh,92.0,1,1,1,2,16.0,1
Trần Văn Kiểu,11,6,Hồ Chí Minh,154.0,1,5,6,4,26.5,1
Số 79,Tân Quy,7,Hồ Chí Minh,80.0,1,11,10,6,19.8,1
Hương Lộ 9,Tân Bình,Vĩnh Cửu,Đồng Nai,87.0,1,3,2,2,1.88,3
Nguyễn Thái Sơn,4,Gò Vấp,Hồ Chí Minh,51.0,1,4,4,4,7.48,3
Tân Chánh Hiệp 18,Tân Chánh Hiệp,12,Hồ Chí Minh,96.0,1,5,5,5,7.9,4
Thạch Lam,Phú Thạnh,Tân Phú,Hồ Chí Minh,54.0,1,2,2,2,5.29,1
Tà Lài,Tà Lài,Tân Phú,Đồng Nai,900.0,1,1,6,5,4.99,1
Phan Anh,Bình Trị Đông,Bình Tân,Hồ Chí Minh,88.0,1,4,5,3,10.0,3
Huỳnh Bá Chánh,Tân Kiên,Bình Chánh,Hồ Chí Minh,39.4,1,3,1,2,2.0,3
Chu Văn An,26,Bình Thạnh,Hồ Chí Minh,62.0,1,3,3,2,12.9,1
Lê Công Phép,An Lạc,Bình Tân,Hồ Chí Minh,74.5,1,4,5,4,9.99,4
Vĩnh Khánh,9,4,Hồ Chí Minh,35.0,1,2,3,3,6.5,3
Nguyễn Thị Thử,Xuân Thới Sơn,Hóc Môn,Hồ Chí Minh,50.0,1,2,2,3,1.9,3
Lý Phục Man,Bình Thuận,7,Hồ Chí Minh,72.0,1,4,5,4,9.5,3
Giang Điền,Giang Điền,Trảng Bom,Đồng Nai,100.0,1,3,2,1,1.68,3
Số 55,Tân Tạo,Bình Tân,Hồ Chí Minh,80.0,1,4,3,4,10.0,1
Xô Viết Nghệ Tĩnh,26,Bình Thạnh,Hồ Chí Minh,60.0,1,1,1,11,4.95,3
Trần Quốc Toản,Võ Thị Sáu,3,Hồ Chí Minh,34.0,1,2,2,2,14.8,1
Bình Thành,Bình Hưng Hoà B,Bình Tân,Hồ Chí Minh,81.0,1,4,5,4,7.1,3
Nguyễn Thị Kiểu,Tân Thới Hiệp,12,Hồ Chí Minh,240.0,1,5,4,3,12.89,3
Số 10,Tân Quy,7,Hồ Chí Minh,100.0,1,4,4,2,6.0,3
Đoàn Thị Điểm,1,Phú Nhuận,Hồ Chí Minh,60.7999,1,4,4,4,11.5,3
Thạnh Lộc 16,Thạnh Lộc,12,Hồ Chí Minh,48.0,1,4,3,2,5.1,3
An Dương Vương,An Lạc,Bình Tân,Hồ Chí Minh,140.0,1,3,3,2,10.5,2
Bờ Đắp Mới,An Phú Tây,Bình Chánh,Hồ Chí Minh,358.6,1,1,4,3,13.0,1
Cống Bà Chí,Tam Phước,Châu Thành,Bến Tre,40.0,1,2,1,2,0.86,1
Tám Danh,4,8,Hồ Chí Minh,40.0,1,5,5,5,11.0,1
Nguyễn Phúc Chu,15,Tân Bình,Hồ Chí Minh,60.0,1,4,4,3,6.0,4
Trần Hưng Đạo,5,5,Hồ Chí Minh,14.0,1,2,2,4,3.2,3
Bờ Xe Lam,Tân Kiên,Bình Chánh,Hồ Chí Minh,94.6997,1,2,2,2,1.2,3
Bùi Hữu Diện,An Lạc A,Bình Tân,Hồ Chí Minh,69.0,1,2,3,2,7.95,1
Số 7,7,Gò Vấp,Hồ Chí Minh,43.0,1,3,2,2,4.45,3
Nguyễn Thị Sóc,Bà Điểm,Hóc Môn,Hồ Chí Minh,82.0,1,4,5,5,7.2,4
Số 26,11,6,Hồ Chí Minh,225.0,1,4,4,4,43.0,1
Phan Xích Long,16,11,Hồ Chí Minh,80.0,1,4,3,2,13.0,1
Tạ Quang Bửu,4,8,Hồ Chí Minh,79.0,1,4,4,3,14.6,1
Huỳnh Tấn Phát,Phú Thuận,7,Hồ Chí Minh,84.0,4,3,2,2,2.6,3
Lê Quang Sung,9,6,Hồ Chí Minh,84.0,1,7,7,4,13.5,1
Số 1,16,Gò Vấp,Hồ Chí Minh,72.0,1,4,5,4,8.1,3
Nguyễn Văn Công,3,Gò Vấp,Hồ Chí Minh,20.0,1,3,2,2,1.4,3
Nhật Tảo,8,10,Hồ Chí Minh,39.0,1,3,3,5,10.3,1
Phạm Văn Bạch,15,Tân Bình,Hồ Chí Minh,64.0,1,2,2,2,5.1,3
Nguyễn Văn Nghi,4,Gò Vấp,Hồ Chí Minh,48.0,1,3,2,2,4.2,3
Phạm Thế Hiển,7,8,Hồ Chí Minh,91.0,1,4,3,3,7.7,3
Trịnh Thị Miếng,Thới Tam Thôn,Hóc Môn,Hồ Chí Minh,48.0,4,2,2,2,1.95,3
Phạm Văn Hai,3,Tân Bình,Hồ Chí Minh,30.0,1,3,4,4,7.0,3
Dương Bá Trạc,1,8,Hồ Chí Minh,96.0,1,5,5,4,17.999,1
Nguyễn Thị Tần,2,8,Hồ Chí Minh,51.0,1,5,6,4,6.5,3
Tân Quý,Tân Quý,Tân Phú,Hồ Chí Minh,250.0,1,6,7,3,23.9,3
Dương Bá Trạc,2,8,Hồ Chí Minh,42.0,1,4,3,3,5.5,3
Phạm Thế Hiển,7,8,Hồ Chí Minh,141.0,1,6,6,7,22.0,1
Nguyễn Thiện Thuật,24,Bình Thạnh,Hồ Chí Minh,19.0,1,2,3,4,4.05,3
Chánh Hưng,9,8,Hồ Chí Minh,24.5,1,3,3,3,3.96,3
Số 13,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,61.0,1,2,2,3,6.9,1
Tô Hiến Thành,13,10,Hồ Chí Minh,50.0,1,3,2,2,5.0,3
Nguyễn Đình Chính,15,Phú Nhuận,Hồ Chí Minh,25.1,1,2,3,3,5.45,3
Tân Kỳ Tân Quý,Tân Quý,Tân Phú,Hồ Chí Minh,77.0,1,5,3,2,8.5,3
Tân Kỳ Tân Quý,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,66.0,1,3,3,2,5.0,3
An Dương Vương,16,8,Hồ Chí Minh,48.0,1,4,3,3,4.95,4
Đồng Đen,12,Tân Bình,Hồ Chí Minh,56.0,1,2,2,3,5.195,3
Nguyễn Duy Cung,12,Gò Vấp,Hồ Chí Minh,68.0,1,5,6,5,7.95,3
Nguyễn Văn Công,3,Gò Vấp,Hồ Chí Minh,24.0,1,2,2,3,3.2,3
Nguyễn Tư Giản,12,Gò Vấp,Hồ Chí Minh,55.0,1,4,3,3,5.9,3
Xô Viết Nghệ Tĩnh,19,Bình Thạnh,Hồ Chí Minh,26.0,1,3,2,3,3.4,3
Bình Thới,11,11,Hồ Chí Minh,23.5,1,2,2,2,3.7,3
Số 14,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,106.0,1,2,3,3,16.0,1
Tân Chánh Hiệp 25,Tân Chánh Hiệp,12,Hồ Chí Minh,150.0,1,4,4,3,8.98,1
Trịnh Thị Dối,Đông Thạnh,Hóc Môn,Hồ Chí Minh,102.0,1,4,3,3,5.2,3
Quốc Lộ 56,Nghĩa Thành,Châu Đức,Bà Rịa - Vũng Tàu,150.0,1,2,2,3,2.9,1
Trần Văn Kiểu,10,6,Hồ Chí Minh,111.9,1,4,5,5,21.5,1
Số 13A,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,66.1996,1,2,2,2,5.0,3
Trần Thị Cờ,Thới An,12,Hồ Chí Minh,70.0,1,4,4,3,8.88,1
Nguyễn Súy,Tân Quý,Tân Phú,Hồ Chí Minh,65.0,1,3,3,3,7.15,3
Số 29,Bình Trị Đông B,Bình Tân,Hồ Chí Minh,80.0,1,11,7,4,9.4,3
Tân Trụ,15,Tân Bình,Hồ Chí Minh,73.0,1,5,4,4,9.9,3
Số 8,11,Gò Vấp,Hồ Chí Minh,50.0,1,2,2,1,6.99,1
Ni Sư Huỳnh Liên,10,Tân Bình,Hồ Chí Minh,60.0,1,4,4,4,9.5,3
Nguyễn Hữu Hào,9,4,Hồ Chí Minh,44.0,1,2,3,2,13.1,1
Vườn Lài,Phú Thọ Hòa,Tân Phú,Hồ Chí Minh,87.0,1,3,2,1,8.0,3
Đồng Đen,13,Tân Bình,Hồ Chí Minh,58.0,1,4,2,2,6.8,3
Bàu Cát,12,Tân Bình,Hồ Chí Minh,60.0,1,4,4,4,9.5,3
Phạm Thế Hiển,4,8,Hồ Chí Minh,68.0,1,5,3,4,12.9,3
Lê Hồng Phong,9,10,Hồ Chí Minh,40.0,1,11,4,4,5.0,3
Tô Ký,Tân Chánh Hiệp,12,Hồ Chí Minh,51.0,1,3,2,1,3.2,3
Đồng Tâm,Trung Chánh,Hóc Môn,Hồ Chí Minh,90.0,1,3,2,2,2.7,3
Số 1,Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh,225.0,1,11,7,6,29.5,3
Huỳnh Văn Bánh,9,3,Hồ Chí Minh,23.0,1,3,3,3,20.0,1
Phổ Quang,2,Tân Bình,Hồ Chí Minh,50.0,1,1,1,2,9.65,3
Nguyễn Văn Linh,Tân Thuận Tây,7,Hồ Chí Minh,119.0,1,2,2,11,15.0,1
Lê Quang Định,1,Gò Vấp,Hồ Chí Minh,55.0,1,6,5,4,8.0,3
Mạc Vân,12,8,Hồ Chí Minh,50.0,1,4,4,4,5.95,3
Phan Tây Hồ,7,Phú Nhuận,Hồ Chí Minh,105.0,1,3,5,4,23.5,1
Nguyễn Bình,Phú Xuân,Nhà Bè,Hồ Chí Minh,48.0,1,2,2,2,2.86,1
Nguyễn Thượng Hiền,5,Bình Thạnh,Hồ Chí Minh,68.0,1,10,7,6,15.5,1
Nguyễn Gia Trí,25,Bình Thạnh,Hồ Chí Minh,80.0,1,11,7,5,18.3,3
Trịnh Đình Trọng,Phú Thọ Hòa,Tân Phú,Hồ Chí Minh,42.0,1,3,3,3,4.8,3
Cách Mạng Tháng 8,10,3,Hồ Chí Minh,38.0,1,2,2,2,4.5,3
Nguyễn Trãi,Nguyễn Cư Trinh,1,Hồ Chí Minh,35.0,1,3,4,4,7.5,3
Tùng Thiện Vương,13,8,Hồ Chí Minh,27.0,1,4,4,4,4.85,3
Võ Văn Kiệt,Cầu Ông Lãnh,1,Hồ Chí Minh,102.0,1,7,7,5,35.0,1
Quốc Lộ 1,Bình Hưng Hoà B,Bình Tân,Hồ Chí Minh,191.6999,1,1,3,3,7.15,3
Thoại Ngọc Hầu,Hòa Thạnh,Tân Phú,Hồ Chí Minh,60.0,1,3,3,3,4.25,3
Quốc Lộ 55,Xuyên Mộc,Xuyên Mộc,Bà Rịa - Vũng Tàu,2248.0,1,3,3,6,10.5,1
Huỳnh Văn Nghệ,15,Tân Bình,Hồ Chí Minh,94.0,3,5,5,4,7.9,3
Số 53,Tân Tạo,Bình Tân,Hồ Chí Minh,100.0,1,6,6,4,14.8,1
Số 6,An Lạc A,Bình Tân,Hồ Chí Minh,90.0,1,3,4,4,11.8,1
Phạm Ngũ Lão,1,Gò Vấp,Hồ Chí Minh,45.0,1,2,3,1,7.55,4
Nơ Trang Long,7,Bình Thạnh,Hồ Chí Minh,52.0,1,4,3,3,7.15,3
Trần Hưng Đạo,Phạm Ngũ Lão,1,Hồ Chí Minh,40.0,1,6,3,3,14.7,3
Lạc Long Quân,5,11,Hồ Chí Minh,45.0,1,3,2,2,4.45,3
Bia Truyền Thống,Tân Tạo,Bình Tân,Hồ Chí Minh,110.1996,1,6,5,4,10.0,1
Cô Bắc,1,Phú Nhuận,Hồ Chí Minh,33.0,1,3,2,1,6.98,3
Âu Dương Lân,2,8,Hồ Chí Minh,28.7999,1,2,2,2,5.5,2
Trung Mỹ Tây 13,Trung Mỹ Tây,12,Hồ Chí Minh,180.0,1,6,4,3,7.68,1
Tân Sơn Nhì,Tân Sơn Nhì,Tân Phú,Hồ Chí Minh,45.0,1,2,2,2,4.55,3
Dương Thị Mười,Tân Chánh Hiệp,12,Hồ Chí Minh,15.0,1,2,1,2,0.62,3
Lê Trọng Tấn,Tây Thạnh,Tân Phú,Hồ Chí Minh,94.0,1,3,1,1,6.9,3
Lê Cơ,An Lạc,Bình Tân,Hồ Chí Minh,70.0,1,4,3,3,5.2,3
Số 17,Tân Thuận Tây,7,Hồ Chí Minh,81.1999,1,2,2,2,13.5,1
Dương Thị Giang,Tân Thới Nhất,12,Hồ Chí Minh,80.0,1,4,4,3,8.5,3
Trần Văn Mười,Xuân Thới Đông,Hóc Môn,Hồ Chí Minh,80.0,1,3,3,2,4.19,3
Số 28 A,Bình Trị Đông B,Bình Tân,Hồ Chí Minh,90.0,1,4,4,5,12.7,1
Cây Gáo,Vĩnh Thạnh Trung,Châu Phú,An Giang,80.0,1,2,1,2,0.8,1
Huyện Lộ 173 Cũ,Hữu Định,Châu Thành,Bến Tre,619.0,1,2,5,4,3.8,1
Quang Trung,8,Gò Vấp,Hồ Chí Minh,84.0,1,6,6,2,6.5,3
Lê Trung Đình,Sơn Kỳ,Tân Phú,Hồ Chí Minh,32.0,1,4,4,5,4.95,3
Thái Thị Giữ,Bà Điểm,Hóc Môn,Hồ Chí Minh,20.0,1,2,1,1,0.99,3
Âu Cơ,Tân Sơn Nhì,Tân Phú,Hồ Chí Minh,48.0,1,3,2,3,4.75,3
Trần Hưng Đạo,Cầu Kho,1,Hồ Chí Minh,18.0,1,3,2,2,2.3,3
Lê Văn Duyệt,1,Bình Thạnh,Hồ Chí Minh,40.0,1,3,3,2,5.8,3
Tân Hoà,Thạnh Phú,Cái Nước,Cà Mau,345.0,1,3,4,3,1.1,3
Số 3,Bình Hưng Hòa,Bình Tân,Hồ Chí Minh,71.5,1,3,4,3,6.18,3
Nguyễn Kiệm,4,Phú Nhuận,Hồ Chí Minh,89.5998,1,3,3,2,11.5,3
Số 2,7,8,Hồ Chí Minh,110.0,1,7,5,6,11.5,1
Tân Hương,Tân Quý,Tân Phú,Hồ Chí Minh,27.8999,1,2,2,2,3.0,3
Số 13,Bình Thuận,7,Hồ Chí Minh,64.0,1,3,2,2,5.7,1
Lê Văn Duyệt,3,Bình Thạnh,Hồ Chí Minh,20.0,1,1,2,2,2.2,3
Nguyễn Kiệm,4,Phú Nhuận,Hồ Chí Minh,89.5998,1,3,2,2,11.2,3
Vĩnh Hội,4,4,Hồ Chí Minh,175.6,1,10,7,4,23.0,2
Lê Văn Sỹ,11,3,Hồ Chí Minh,20.0,1,3,3,3,17.5,1
Hà Huy Giáp,Thạnh Lộc,12,Hồ Chí Minh,25.0,4,2,2,2,0.74,3
Trần Văn Ðang,11,3,Hồ Chí Minh,16.0,1,2,2,2,7.0,1
Dương Đình Cúc,Tân Kiên,Bình Chánh,Hồ Chí Minh,96.0,1,3,2,1,0.95,1
Lâm Văn Bền,Tân Kiểng,7,Hồ Chí Minh,52.0,1,3,2,2,4.0,3
Phạm Văn Chiêu,14,Gò Vấp,Hồ Chí Minh,40.0,1,2,2,2,4.0,3
Bình Tiên,8,6,Hồ Chí Minh,62.4,1,3,4,3,14.0,1
Quốc Lộ 1,An Phú Đông,12,Hồ Chí Minh,173.0,1,9,6,4,9.2,2
Lý Thường Kiệt,4,Gò Vấp,Hồ Chí Minh,78.4,1,7,5,2,7.8,3
Quốc Lộ 1,Hàm Đức,Hàm Thuận Bắc,Bình Thuận,1124.0,1,2,2,5,3.845,1
